data_size,model_size,train_loss,eval_loss,compute
447872,2.828427125,0.003801608,0.040467023,3582976
460672,2.828427125,0.012735134,0.040583826,3685376
473472,2.828427125,0.012278438,0.042830224,3787776
486272,2.828427125,0.015939226,0.041463282,3890176
499072,2.828427125,0.002675779,0.038819904,3992576
511872,2.828427125,0.014404051,0.040962975,4094976
524672,2.828427125,0.015445877,0.033700651,4197376
537472,2.828427125,0.015865952,0.03724142,4299776
550272,2.828427125,0.003175177,0.034914576,4402176
563072,2.828427125,0.006986511,0.046130636,4504576
575872,2.828427125,0.015240258,0.03791072,4606976
588672,2.828427125,0.000629942,0.038411353,4709376
601472,2.828427125,0.01238528,0.04191661,4811776
614272,2.828427125,0.040267441,0.041533228,4914176
627072,2.828427125,0.060070489,0.039545083,5016576
639872,2.828427125,0.043144114,0.037428565,5118976
652672,2.828427125,0.01886962,0.038807386,5221376
665472,2.828427125,0.032054916,0.05202643,5323776
678272,2.828427125,0.000747036,0.036473861,5426176
691072,2.828427125,0.025674131,0.041875213,5528576
703872,2.828427125,0.019832572,0.041448496,5630976
716672,2.828427125,0.009268358,0.0475866,5733376
729472,2.828427125,0.005259359,0.044262192,5835776
742272,2.828427125,0.030375637,0.044575796,5938176
755072,2.828427125,0.01233994,0.040090105,6040576
767872,2.828427125,0.048712045,0.0481251,6142976
780672,2.828427125,0.001266835,0.039035984,6245376
793472,2.828427125,0.001177861,0.045566708,6347776
806272,2.828427125,0.000553283,0.046438834,6450176
819072,2.828427125,0.004784548,0.043266406,6552576
831872,2.828427125,0.002159048,0.049120188,6654976
844672,2.828427125,0.004389798,0.04654664,6757376
857472,2.828427125,0.002145418,0.041206804,6859776
870272,2.828427125,0.000400628,0.04169312,6962176
883072,2.828427125,0.001489655,0.040037559,7064576
895872,2.828427125,0.020606613,0.045205237,7166976
908672,2.828427125,0.000943918,0.04246833,7269376
921472,2.828427125,0.00203273,0.047428896,7371776
934272,2.828427125,0.005945133,0.039857812,7474176
947072,2.828427125,0.056226671,0.04794986,7576576
959872,2.828427125,0.004510898,0.042072514,7678976
972672,2.828427125,0.004805968,0.047821252,7781376
985472,2.828427125,0.00026467,0.04963571,7883776
998272,2.828427125,0.002020387,0.047520156,7986176
1011072,2.828427125,0.044067595,0.050427857,8088576
1023872,2.828427125,0.002209006,0.041295628,8190976
1036672,2.828427125,0.009956921,0.037950788,8293376
1049472,2.828427125,0.000927473,0.042154465,8395776
1062272,2.828427125,0.00036911,0.04819309,8498176
1075072,2.828427125,0.014629053,0.041020704,8600576
1087872,2.828427125,0.002106473,0.047575836,8702976
1100672,2.828427125,0.000911701,0.041168607,8805376
1113472,2.828427125,0.000958128,0.041887655,8907776
1126272,2.828427125,0.000781642,0.046645146,9010176
1139072,2.828427125,0.015037825,0.0499005,9112576
1151872,2.828427125,0.027632175,0.039619304,9214976
1164672,2.828427125,0.002240603,0.060095787,9317376
1177472,2.828427125,0.012885577,0.044884172,9419776
1190272,2.828427125,0.040054858,0.046909922,9522176
1203072,2.828427125,0.035386216,0.042482028,9624576
1215872,2.828427125,0.000124031,0.045097789,9726976
1228672,2.828427125,0.00194091,0.05014236,9829376
1241472,2.828427125,0.016519433,0.043976951,9931776
1254272,2.828427125,0.000336781,0.043065398,10034176
1267072,2.828427125,0.00327696,0.04704466,10136576
1279872,2.828427125,0.003370132,0.044463945,10238976
1292672,2.828427125,0.000374662,0.040499654,10341376
1305472,2.828427125,3.30E-05,0.047517254,10443776
1318272,2.828427125,0.027523238,0.042583183,10546176
1331072,2.828427125,0.036994636,0.051133234,10648576
1343872,2.828427125,0.001108583,0.046002211,10750976
1356672,2.828427125,0.092244551,0.051936266,10853376
1369472,2.828427125,0.007933598,0.043121116,10955776
1382272,2.828427125,0.007274479,0.045927503,11058176
1395072,2.828427125,0.000125039,0.043633329,11160576
1407872,2.828427125,0.000428773,0.048898203,11262976
1420672,2.828427125,0.065830007,0.047285834,11365376
