,data_size,model_size,eval_loss,compute
63,1.0,11.31,1.99,128.0
64,0.71,11.31,1.8,90.51
65,0.5,11.31,1.5,64.0
66,0.35,11.31,1.9,45.25
67,0.25,11.31,1.55,32.0
68,0.18,11.31,1.76,22.63
69,0.12,11.31,1.92,16.0
70,0.09,11.31,3.08,11.31
71,0.06,11.31,2.4,8.0
72,1.0,16.0,1.49,256.0
73,0.71,16.0,1.65,181.02
74,0.5,16.0,1.26,128.0
75,0.35,16.0,1.62,90.51
76,0.25,16.0,1.54,64.0
77,0.18,16.0,1.46,45.25
78,0.12,16.0,1.85,32.0
79,0.09,16.0,2.05,22.63
80,0.06,16.0,2.4,16.0
81,1.0,1.0,6.79,1.0
82,0.71,1.0,3.93,0.71
83,0.5,1.0,4.97,0.5
84,0.35,1.0,4.31,0.35
85,0.25,1.0,5.77,0.25
86,0.18,1.0,5.63,0.18
87,0.12,1.0,7.44,0.12
88,0.09,1.0,6.55,0.09
89,0.06,1.0,9.47,0.06
90,1.0,1.41,3.29,2.0
91,0.71,1.41,3.0,1.41
92,0.5,1.41,2.93,1.0
93,0.35,1.41,3.6,0.71
94,0.25,1.41,4.27,0.5
95,0.18,1.41,4.2,0.35
96,0.12,1.41,4.21,0.25
97,0.09,1.41,4.9,0.18
98,0.06,1.41,6.81,0.12
99,1.0,2.0,2.38,4.0
100,0.71,2.0,2.35,2.83
101,0.5,2.0,2.64,2.0
102,0.35,2.0,2.49,1.41
103,0.25,2.0,3.13,1.0
104,0.18,2.0,2.77,0.71
105,0.12,2.0,4.63,0.5
106,0.09,2.0,4.67,0.35
107,0.06,2.0,5.37,0.25
108,1.0,2.83,1.75,8.0
109,0.71,2.83,2.05,5.66
110,0.5,2.83,2.31,4.0
111,0.35,2.83,1.95,2.83
112,0.25,2.83,2.21,2.0
113,0.18,2.83,3.75,1.41
114,0.12,2.83,2.74,1.0
115,0.09,2.83,3.66,0.71
116,0.06,2.83,3.79,0.5
117,1.0,4.0,1.46,16.0
118,0.71,4.0,2.04,11.31
119,0.5,4.0,1.8,8.0
120,0.35,4.0,1.64,5.66
121,0.25,4.0,1.67,4.0
122,0.18,4.0,2.3,2.83
123,0.12,4.0,2.38,2.0
124,0.09,4.0,2.53,1.41
125,0.06,4.0,3.24,1.0
126,1.0,5.66,1.35,32.0
127,0.71,5.66,1.63,22.63
128,0.5,5.66,1.61,16.0
129,0.35,5.66,1.91,11.31
