,data_size,model_size,eval_loss,compute
1082,1.0,5.66,10.82,32.0
1083,0.71,5.66,8.8,22.63
1084,0.5,5.66,9.95,16.0
1085,0.35,5.66,13.72,11.31
1086,1.0,8.0,7.88,64.0
1087,0.71,8.0,11.77,45.25
1088,0.5,8.0,12.47,32.0
1089,0.35,8.0,15.4,22.63
1090,1.0,11.31,8.27,128.0
1091,0.71,11.31,9.61,90.51
1092,0.5,11.31,9.61,64.0
1093,0.35,11.31,15.07,45.25
1094,1.0,16.0,11.5,256.0
1095,0.71,16.0,11.06,181.02
1096,0.5,16.0,8.64,128.0
1097,0.35,16.0,10.75,90.51
1098,1.0,1.0,15.07,1.0
1099,0.71,1.0,15.31,0.71
1100,0.5,1.0,18.98,0.5
1101,0.35,1.0,17.26,0.35
1102,1.0,1.41,11.72,2.0
1103,0.71,1.41,17.75,1.41
1104,0.5,1.41,15.47,1.0
1105,0.35,1.41,13.66,0.71
1106,1.0,2.0,10.29,4.0
1107,0.71,2.0,11.11,2.83
1108,0.5,2.0,16.47,2.0
1109,0.35,2.0,19.39,1.41
1110,1.0,2.83,8.54,8.0
1111,0.71,2.83,9.99,5.66
1112,0.5,2.83,13.47,4.0
1113,0.35,2.83,17.04,2.83
1114,1.0,4.0,11.46,16.0
1115,0.71,4.0,9.62,11.31
1116,0.5,4.0,14.85,8.0
1117,0.35,4.0,13.65,5.66
1118,1.0,5.66,8.37,32.0
1119,0.71,5.66,8.8,22.63
1120,0.5,5.66,11.26,16.0
1121,0.35,5.66,19.09,11.31
1122,1.0,8.0,11.65,64.0
1123,0.71,8.0,10.26,45.25
1124,0.5,8.0,12.57,32.0
1125,0.35,8.0,11.98,22.63
1126,1.0,11.31,8.12,128.0
1127,0.71,11.31,8.12,90.51
1128,0.5,11.31,12.88,64.0
1129,0.35,11.31,12.26,45.25
1130,1.0,16.0,7.35,256.0
