,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
195,1612672,1.0,0.046245966,0.070457806,206422016.0,0.060584278,0.005780931,1.0
196,1625472,1.0,0.026741415,0.070822218,208060416.0,0.060584278,0.005780931,1.0
197,1638272,1.0,0.057967745,0.064008539,209698816.0,0.060584278,0.005780931,1.0
198,1651072,1.0,0.019496787,0.071519923,211337216.0,0.060584278,0.005780931,1.0
199,1663872,1.0,0.05658105,0.070133111,212975616.0,0.060584278,0.005780931,1.0
200,1676672,1.0,0.052822173,0.067946679,214614016.0,0.060584278,0.005780931,1.0
201,1689472,1.0,0.074120566,0.067267701,216252416.0,0.060584278,0.005780931,1.0
202,1702272,1.0,0.029016061,0.069438345,217890816.0,0.060584278,0.005780931,1.0
203,1715072,1.0,0.051834039,0.063983114,219529216.0,0.060584278,0.005780931,1.0
204,1727872,1.0,0.026624776,0.063902699,221167616.0,0.060584278,0.005780931,1.0
205,1740672,1.0,0.031132625,0.065710124,222806016.0,0.060584278,0.005780931,1.0
206,1753472,1.0,0.075612709,0.068351265,224444416.0,0.060584278,0.005780931,1.0
207,1766272,1.0,0.060039129,0.068683592,226082816.0,0.060584278,0.005780931,1.0
208,1779072,1.0,0.069605269,0.066767746,227721216.0,0.060584278,0.005780931,1.0
209,1791872,1.0,0.035635114,0.071479689,229359616.0,0.060584278,0.005780931,1.0
210,1804672,1.0,0.065670513,0.068073756,230998016.0,0.060584278,0.005780931,1.0
211,1817472,1.0,0.010904846,0.06092119,232636416.0,0.060584278,0.005780931,1.0
212,1830272,1.0,0.033895295,0.063382231,234274816.0,0.060584278,0.005780931,1.0
213,1843072,1.0,0.072880618,0.080743124,235913216.0,0.060584278,0.005780931,1.0
214,1855872,1.0,0.107316844,0.073078793,237551616.0,0.060584278,0.005780931,1.0
215,1868672,1.0,0.051962748,0.05900159,239190016.0,0.05900159,0.005780931,1.0
216,1881472,1.0,0.013533998,0.067746353,240828416.0,0.05900159,0.005780931,1.0
217,1894272,1.0,0.110367507,0.06720094,242466816.0,0.05900159,0.005780931,1.0
218,1907072,1.0,0.046013501,0.065631064,244105216.0,0.05900159,0.005780931,1.0
219,1919872,1.0,0.061325043,0.064069058,245743616.0,0.05900159,0.005780931,1.0
220,12672,1.414213562,0.110826112,0.168051179,3244031.9982883316,0.168051179,0.110826112,2.0
221,25472,1.414213562,0.083463043,0.130247939,6520831.996559374,0.130247939,0.083463043,2.0
222,38272,1.414213562,0.131505087,0.101425194,9797631.994830417,0.101425194,0.083463043,2.0
223,51072,1.414213562,0.045529108,0.086935059,13074431.993101459,0.086935059,0.045529108,2.0
224,63872,1.414213562,0.076261342,0.096608051,16351231.991372501,0.086935059,0.045529108,2.0
225,76672,1.414213562,0.036200479,0.072583603,19628031.989643544,0.072583603,0.036200479,2.0
226,89472,1.414213562,0.040743824,0.070486056,22904831.987914585,0.070486056,0.036200479,2.0
227,102272,1.414213562,0.07042928,0.084893261,26181631.98618563,0.070486056,0.036200479,2.0
228,115072,1.414213562,0.054927967,0.092123011,29458431.98445667,0.070486056,0.036200479,2.0
229,127872,1.414213562,0.037436225,0.088803449,32735231.98272771,0.070486056,0.036200479,2.0
230,140672,1.414213562,0.061298404,0.060962814,36012031.980998755,0.060962814,0.036200479,2.0
231,153472,1.414213562,0.050705694,0.061734961,39288831.979269795,0.060962814,0.036200479,2.0
232,166272,1.414213562,0.09805654,0.060730576,42565631.977540836,0.060730576,0.036200479,2.0
233,179072,1.414213562,0.038434755,0.054336153,45842431.975811884,0.054336153,0.036200479,2.0
234,191872,1.414213562,0.086828746,0.05331994,49119231.974082924,0.05331994,0.036200479,2.0
235,204672,1.414213562,0.07383626,0.087466073,52396031.972353965,0.05331994,0.036200479,2.0
236,217472,1.414213562,0.033886831,0.060005236,55672831.970625006,0.05331994,0.033886831,2.0
237,230272,1.414213562,0.10155616,0.058501213,58949631.96889605,0.05331994,0.033886831,2.0
238,243072,1.414213562,0.077915005,0.054906909,62226431.967167094,0.05331994,0.033886831,2.0
239,255872,1.414213562,0.04569472,0.052056359,65503231.965438135,0.052056359,0.033886831,2.0
240,268672,1.414213562,0.050167713,0.053549063,68780031.96370918,0.052056359,0.033886831,2.0
241,281472,1.414213562,0.013794354,0.05659043,72056831.96198022,0.052056359,0.013794354,2.0
